link,text,date,No_of_Likes,No_of_tweets
https://twitter.com/MCY1X/status/1755311584765686215#m,#Tories #ConservativeParty,"Feb 7, 2024 · 7:24 PM UTC",0,0
https://twitter.com/MCY1X/status/1755311216140943596#m,Record numbers of £millionaires & £billionaires #RichPeople richer than ever  Ordinary people struggling with the #CostOfLivingCrisis #Charities desperate for donations Says it all really! The #UK today #UnitedKingdom  14yrs of the #Tories #ConservativeParty #VoteConservative?,"Feb 7, 2024 · 7:23 PM UTC",1,0
https://twitter.com/Brooksknee/status/1755308253951504855#m,#RishiSunak #ConservativeParty   LOL Mortage Peter Tay Luts Sad face with 2024 hat 27m milloi,"Feb 7, 2024 · 7:11 PM UTC",3,0
https://twitter.com/callumkitson/status/1755305509966450773#m,Rishi Sunak during the Conservative Party Political Broadcast.  #RishiSunak #ConservativeParty,"Feb 7, 2024 · 7:00 PM UTC",21,0
https://twitter.com/VolcanicAsh84/status/1755308609729183878#m,When the dickhead manager brings the whiteboard out #RishiSunak #ConservativeParty,"Feb 7, 2024 · 7:12 PM UTC",7,1
https://twitter.com/Skiphogan/status/1755308039588962495#m,Even his pathetic house drawing looks depressed. What an absolute W⚓ @RishiSunak is. #ConservativeParty #GeneralElectionN0W,"Feb 7, 2024 · 7:10 PM UTC",1,0
https://twitter.com/RiotousRockers/status/1755307336594309206#m,That was literally the worst party political broadcast I've ever seen. Can someone remind me of a worse one?  #partypoliticalbroadcast #ConservativeParty,"Feb 7, 2024 · 7:07 PM UTC",2,0
https://twitter.com/Lilyparrkerr/status/1755307126040179148#m,Man with millions of pounds can't spell mortage. I mean mortgage.  #rishisunak #torypartypoliticalbroadcast #conservativepartypoliticalbroadcast #conservativeparty #tories #partypoliticalbroadcast,"Feb 7, 2024 · 7:06 PM UTC",0,0
https://twitter.com/Politically__OK/status/1755306862231044270#m,Did you think the #ConservativeParty party politician broadcast was a fair summary?,"Feb 7, 2024 · 7:05 PM UTC",0,0
https://twitter.com/Mr_Kerry_C/status/1755306851007127906#m,Just watched the #PrimeMinister and his #ConservativeParty #PoliticalBroadcast.  I’m speechless. #handwriting #spelling  My Y3s do better,"Feb 7, 2024 · 7:05 PM UTC",1,0
https://twitter.com/susan_helmont/status/1755306306997530978#m,#ConservativeParty political broadcast. It was going so well @RishiSunak But then you forgot to mention the other 4 priorities 🙄,"Feb 7, 2024 · 7:03 PM UTC",1,0
https://twitter.com/MissCailinDana/status/1755306234582814981#m,"#partypolicticalbroadcast #BBCOne #ConservativeParty   I’m not a fan of the party but credit where credit is due, that was a good, clear and well presented presentation.  Factual? Who knows?","Feb 7, 2024 · 7:03 PM UTC",0,0
https://twitter.com/Ourtosh/status/1755306234540871831#m,"Just watching Rishi on the Conservative Party Broadcast taking the piss for the second time today, but using a flip chart. What a twat. #RishiSunak #ConservativeParty #ToriesBrokeBritain #ToriesCorruptToTheCore","Feb 7, 2024 · 7:03 PM UTC",3,0
https://twitter.com/d1ckdutch/status/1755306201137533373#m,"I’ve just watched the #ConservativeParty political broadcast, and it was good. #rishi stayed in his comfort zone, it was factual and gave a good message. Congratulations #Tories","Feb 7, 2024 · 7:03 PM UTC",0,2
https://twitter.com/iamrobhardy/status/1755306116127330601#m,#ConservativeParty,"Feb 7, 2024 · 7:02 PM UTC",0,0
https://twitter.com/ConnorSams94/status/1755306083642376264#m,Was that #ConservativeParty advert real that I just saw on @bbcsoutheast? #Rishi lecturing the nation like children for why the country is in such a bad shape and he has the cheek to say with @UKLabour it would be back to square one! Bring on square 1 please!! #ToryBrokenBritain,"Feb 7, 2024 · 7:02 PM UTC",0,0
https://twitter.com/HiggikKevin/status/1755306052147352034#m,Who decided that Rishi standing in front of a flip chart and scribbling a load of stuff that not many people understand was a good idea... #ConservativeParty,"Feb 7, 2024 · 7:02 PM UTC",1,1
https://twitter.com/FrancaisFarage/status/1755305965744759213#m,Sunak missed Brexit off his flip chart 🤦🏻‍♂️🤷‍♂️ #Conservatives #ConservativeParty #partypoliticalbroadcast #Brexit,"Feb 7, 2024 · 7:02 PM UTC",3,0
https://twitter.com/SimonVelocity/status/1755305938418884816#m,#ConservativeParty #RishiSunak Just seen the Tories Party Political Broadcast! Shocking!,"Feb 7, 2024 · 7:02 PM UTC",3,0
https://twitter.com/world_foolish/status/1755305641994813790#m,That house says it all #ConservativeParty #PartyPolitical #bbcone,"Feb 7, 2024 · 7:00 PM UTC",3,0
https://twitter.com/Toronto_nian/status/1755305228759449938#m,"#CanadianNews #FamilyPolitics - Following  #ConservativeParty's @ABDanielleSmith's & @PierrePoilievre's new policy imposed upon families, parents of transgender kids want them STAY OUT OF THEIR FAMILIES BUSINESS & mind their own FAMILIES & DADDY ISSUES! https://www.cbc.ca/news/canada/edmonton/parents-of-transgender-kids-want-alberta-government-to-stay-out-of-medical-decisions-1.7103878?__vfz=medium%3Dsharebar","Feb 7, 2024 · 6:59 PM UTC",0,0
https://twitter.com/delsbells/status/1755302090832793814#m,"That’s it, in a very accurate nutshell.  #ConservativeParty #The1922Committee #HouseOfCommons","Feb 7, 2024 · 6:46 PM UTC",1,0
https://twitter.com/Richard_4_2_0/status/1755299577408729468#m,Popular Fascism  #PopCon #PopCons  Not Pop Con - Not Con!   Matt Green Comedy  #Conservative #Conservatives #ConservativeParty #RightWing #SNP #Labour #greenparty #LibDems #PlaidCymru https://youtu.be/rlMocrRYElo?si=6yE8B0EAlK2LI-dy,"Feb 7, 2024 · 6:36 PM UTC",0,0
https://twitter.com/AClaiborne_Noah/status/1755297508467655103#m,Conservative MP Nickie Aiken to step down amid a wave of Tory resignations https://noah-news.com/gb/en/politics/2024/02/07/conservative-mp-nickie-aiken-to-step-down-amid-a-wave-of-tory-resignations #UKpolitics #ConservativeParty #Resignations,"Feb 7, 2024 · 6:28 PM UTC",0,0
https://twitter.com/Richard_4_2_0/status/1755291091178279295#m,"Popular Fascism (my view)  Number_Free (me)  #PopCons #PopCon @trussliz  ""The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command"" - George Orwell, 1984.  #Conservative #Conservatives #ConservativeParty https://youtu.be/3PuTrcQ__HI?si=wrbvyerAvvLpUMAo","Feb 7, 2024 · 6:03 PM UTC",0,0
https://twitter.com/CPaige_Noah/status/1755280917730308239#m,Holly Valance stirs political buzz with appearance at PopCon event https://noah-news.com/gb/en/politics/2024/02/07/holly-valance-stirs-political-buzz-with-appearance-at-popcon-event #HollyValance #PopCon #ConservativeParty,"Feb 7, 2024 · 5:22 PM UTC",0,0
https://twitter.com/Richard_4_2_0/status/1755280357362921920#m,Popular Fascism  #PopCons #NazisInAllButName @Jacob_Rees_Mogg  Unmasking Jacob Rees-Mogg: A Dive into his Authoritarian Agenda   BowlerHatMan  #Conservative #Conservatives #ConservativeParty #RightWing #SNP #Labour #greenparty #LibDems #PlaidCymru https://youtu.be/UhC7INYExEQ?si=dwP7ndImB-CrcyC8,"Feb 7, 2024 · 5:20 PM UTC",0,0
https://twitter.com/itzashley06x/status/1755278596023713856#m,What was shameful was Sunak making a political jibe about trans women in front of Ms Ghey. #ConservativeParty #Tories #ToriesOut #ToriesUnfitToGovern #ToriesBrokeBritain #ToriesCorruptToTheCore #ToryCorruption #RishiSunak #Tory #TransRightsAreHumanRights #Trans #BriannaGhey,"Feb 7, 2024 · 5:13 PM UTC",0,1
https://twitter.com/anneryan21/status/1755277840482779367#m,The #ConservativeParty has established a new rule of politics - everything can get worse.#GeneralElectionNow,"Feb 7, 2024 · 5:10 PM UTC",0,0
https://twitter.com/SueW251161/status/1755243053890044155#m,"It wasn't a ""blunder"". I believe was a vile, abborant calculated move by #Sunak to further the #ConservativeParty's #GenderWars and #CultureWars.","Feb 7, 2024 · 2:52 PM UTC",1,0
https://twitter.com/Richard_4_2_0/status/1755272010777678239#m,Alternative Paper Review  Wed 07/02/24 Aid Thompsin  #Conservative #Conservatives #ConservativeParty #RightWing #SNP #Labour #greenparty #LibDems #PlaidCymru https://youtu.be/tnqMcNw2u1Y?si=VxNqG9LXyu42eDQx,"Feb 7, 2024 · 4:47 PM UTC",0,0
https://twitter.com/Toronto_nian/status/1755268656387297702#m,#Cartoons - Today's cartoon by cartoonist @deAdderCanada on #ConservativeParty's leader @PierrePoilievre who followes his USA Trumpists Financier Masters against Democracy promoting Putin's Russian style authoritarianism for Canada in line w/his teacher @StphenHarper's ideology!,"Feb 7, 2024 · 4:33 PM UTC",0,0
https://twitter.com/Richard_4_2_0/status/1755266733974143081#m,#Brexit  Brexit Wipes Out UK's BIGGEST Steelworks. Decimates Wales. Media Covered It Up.   Byline TV  #Conservative #Conservatives #ConservativeParty #RightWing #SNP #Labour #greenparty #LibDems #PlaidCymru https://youtu.be/ldOPtFgA31I?si=oUUYAcNDqlnEkgek,"Feb 7, 2024 · 4:26 PM UTC",0,0
https://twitter.com/Toronto_nian/status/1755265685712745002#m,"#Cartoons - Today's cartoon for @TorontoStar by cartoonists @TheoMoudakis on the ""Sex Education"" policies by  #ConservativeParty's @ABDanielleSmith & @PierrePoilievre. Comment: Of course Pierre's #SexEd policy may be due to ""Daddy Issues,"" but Danielle's is anybody's guess!🐹🤔","Feb 7, 2024 · 4:22 PM UTC",0,0
https://twitter.com/Richard_4_2_0/status/1755264246995198367#m,"THE TORIES AT THE TOP ARE UTTERLY EVIL/INSANE - AND EXTREMELY DANGEROUS!  #Conservative #Conservatives #ConservativeParty  Tories launch ""Popular Conservatives"" -Here's what you missed!   Femi  #RightWing #SNP #Labour #greenparty #LibDems #PlaidCymru https://youtu.be/uUjzhdLjcIM?si=ngwbPebVrx31eq2O","Feb 7, 2024 · 4:16 PM UTC",0,0
https://twitter.com/itzashley06x/status/1755260372385185792#m,"Fuck you, Rishi. Fuck you. #ConservativeParty #Conservatives #Tories #ToriesOut #ToriesUnfitToGovern #ToriesBrokeBritain #ToriesAreOutOfControl #ToriesCorruptToTheCore #ToriesDestroyingOurCountry #ToryCorruption #RishiSunak #Tory #TransRightsAreHumanRights #Trans #BriannaGhey","Feb 7, 2024 · 4:00 PM UTC",0,0
https://twitter.com/SueW251161/status/1755257578261532986#m,Straight from the horse's mouth. The #ConservativeParty are actively campaigning going into the #GeneralElection on #GenderWars and #CultureWars.  #ToriesHateTrans,"Feb 7, 2024 · 3:49 PM UTC",0,0
https://twitter.com/Dahshur11/status/1754951278017356066#m,"#TobiasEllwood is an Arch Deacon of the liberal Left that infiltrated and broke the #ConservativeParty.  These people have no right to call themselves Conservatives.  In point of fact, Elwood and his leftist mates are the people responsible for moving the party into oblivion.","Feb 6, 2024 · 7:32 PM UTC",64,6
